name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
Roberts Toby,GBR,17.0,99.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,3,3,X,1,X,10,X,X,33+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
YUN Shinyeong,KOR,18.0,97.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,1,X,2,X,X,X,4,32+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Puman Hannes,SWE,19.0,91.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,7,X,X,X,4,30+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Van Duysen Hannes,BEL,20.0,88.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,X,1,X,X,X,3,29+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Avezou Sam,FRA,21.0,88.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,3,X,3,X,X,29+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Peharc Anze,SLO,22.0,88.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,4,3,3,X,X,23+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Nagel Yannick,GER,23.0,83.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,3,1,X,1,X,X,X,X,29+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Schweiger Christoph,GER,24.0,77.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,X,3,X,X,X,X,27+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
GOH WEN BIN Luke,SGP,25.0,69.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,X,2,X,X,X,6,21+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Baudrand Oscar,CAN,26.0,63.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,X,5,X,X,X,X,29+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
RAMADHAN RAVIANDI,INA,27.0,63.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,6,X,2,X,X,X,X,29+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Schröter Thilo Jeldrik,NOR,28.0,53.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,X,3,X,X,X,X,23,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
HO Cheuk-hei,HKG,29.0,51.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,X,5,X,X,X,X,22+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Chan Cheung-chi Shoji,HKG,30.0,50.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,X,1,X,X,X,X,21+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
KIM DOHYEON,KOR,31.0,49.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,X,2,X,X,X,X,21+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Martin Philipp,GER,32.0,49.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,X,1,X,X,X,X,23+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Ho Foganholo Felipe ,BRA,33.0,48.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,X,X,X,X,X,X,23+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
CHEN YONGCHEN,CHN,34.0,46.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,3,X,3,X,X,X,X,22,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
RAMADHAN RAVIANTO,INA,35.0,43.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,3,X,X,X,X,X,X,23+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Lin Chia Hsiang,TPE,36.0,35.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,X,X,X,X,X,X,21+,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Yau Ka-chun,HKG,37.0,30.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,X,4,X,X,X,X,12,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
AU Chi-fung,HKG,,DNS,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,X,X,X,X,X,X,,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
Nouri Amir,IRI,,DNS,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,X,X,X,X,X,X,,2022-10-20_Japan_Boulder&lead_Men_Qualification.csv
