name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A,source_file
Pitcher Ethan,CAN,32,5.88,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.02,5.888,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Asrar Ehsan,IRI,33,5.902,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.902,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Hammer Zach,USA,34,5.904,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,9.031,5.904,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
FUJINO Shuto,JPN,35,5.909,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.909,6.015,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
YASUKAWA Jun,JPN,36,5.92,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,5.921,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Shafiei Mohsen,IRI,37,5.96,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,8.493,5.968,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Estevez  Isaac,ECU,38,5.983,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.983,6.461,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Lucke Sebastian,GER,39,5.986,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.986,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Murat Alisher,KAZ,40,5.991,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.028,5.991,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Pavlenko Kostiantyn,UKR,41,5.995,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,5.995,6.39,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
LE CLERCQ DE LANNOY Yann,FRA,42,6.00,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.006,7.03,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Knapp Lukas,AUT,43,6.09,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.237,6.099,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Szalecki Oskar,POL,44,6.13,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.139,8.291,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Chan Cheung-chi Shoji,HKG,45,6.18,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.934,6.187,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
O'Francia Quinn,USA,46,6.20,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.205,6.345,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Bader Linus,GER,47,6.22,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.222,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
MITA Ayumu,JPN,48,6.27,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.274,6.288,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Ikeda Yudai,JPN,49,6.28,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.283,7.06,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
KANG MINSU,KOR,50,6.33,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.336,6.49,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
MOON TAEUNG,KOR,51,6.34,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.34,7.965,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Kriz Jan,CZE,52,6.35,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.352,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Goodacre Joe,USA,53,6.39,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,7.491,6.396,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Le Dylan,CAN,54,6.46,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.625,6.463,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
AU Chi-fung,HKG,55,6.555,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.555,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Yessipov Matvey,KAZ,56,6.558,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,7.395,6.558,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Payet Gaboriaud Marius,FRA,57,6.58,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.613,6.586,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
WONG Cheuk-nam,HKG,58,6.61,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.613,6.634,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Rivas Domínguez Alejandro,ESP,59,6.68,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,6.684,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
ZHANG LIANG,CHN,60,6.75,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,6.757,7.141,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Liss Micah,USA,61,7.29,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,7.29,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Bruyns Joshua,RSA,62,7.30,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,9.246,7.309,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Fall Matthew,GBR,63,7.50,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,7.506,8.428,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Sternik Valentin,ARG,64,7.88,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,7.881,9.194,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Stokes Rafe,GBR,65,7.93,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,9.23,7.932,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Maimuratov Amir,KAZ,66,10.94,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,10.945,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
LAU Tsz-kiu,HKG,67,12.17,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,12.17,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
Bogeschdorfer Lawrence,AUT,68,FALL,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNF,DNF,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
CHUNG Man-hei,HKG,69,FALSE START,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2022",1239,2022,Villars-sur-Ollon,Speed,Men,Qualification,2022-06-30,/api/v1/category_rounds/6864/results,/api/v1/events/1239/result/2,DNS,,2022-06-30_Villars-sur-Ollon_Speed_Men_Qualification.csv
