name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
SEO YEJOO,KOR,64,0T4z 0 20,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,2,X,X,X,6,X,4,X,8
Colli Beatrice,ITA,65,0T3z 0 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,2,X,X,X,X,X,2
ZAKHAROVA Kseniia,UKR,65,0T3z 0 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,6,X,X,X,X,X,1,X,1
Loikas Laura,FIN,67,0T3z 0 15,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,10,X,X,X,X,X,4
Gold Yula,ISR,67,0T3z 0 12,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,4,X,7,X,X
Kremer Valeri,ISR,69,0T3z 0 14,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,7,X,X,X,1,X,X,X,6
Apel Anna Maria,GER,69,0T2z 0 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,4,X,X,X,X,X,X,X,2
Wieckowski Lia,CAN,69,0T2z 0 6,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,1,X,X,X,X,X,X,X,5
Frangos Rebecca,CAN,72,0T2z 0 2,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,1,X,X,X,1
KOBETS Anastasia,UKR,72,0T2z 0 2,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,1,X,X,X,1
Weeda Mia,AUS,74,0T2z 0 18,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,3,X,X,X,X,X,X,X,15
Kenderdine Phoebe,NZL,75,0T1z 0 2,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,2,X,X,X,X,X,X,X,X
LING Wai-mui,HKG,75,0T2z 0 8,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,7,X,X,X,X,X,X,X,1
Tamosiunaite Rugile,LTU,77,0T1z 0 4,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,4,X,X,X,X,X,X,X,X
WONG Tseng-shun,HKG,77,0T1z 0 2,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,X,X,X,X,2
Sepulveda Elizabeth,PUR,79,0T0z 0 0,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,X,X,X,X,X
Dobie Siobhan,AUS,79,0T1z 0 5,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,1284,2022,Brixen,Boulder,Women,Qualification,2022-06-10,/api/v1/category_rounds/7412/results,/api/v1/events/1284/result/7,X,X,X,X,X,X,X,X,X,5
