name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
DUFFY Colin,USA,38.0,2T4z 5 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,2,X,1,1,1,X,3,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
COUSINS Matthew,GBR,39.0,2T4z 5 12,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,3,3,X,1,2,2,X,6,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
BAUDRAND Oscar,CAN,40.0,2T4z 5 20,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,2,1,X,X,3,2,X,5,X,12,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
MARCUS Nimrod,ISR,41.0,2T4z 6 9,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,5,5,X,2,1,1,X,1,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
BARRON Charles,USA,42.0,2T4z 7 15,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,4,X,2,3,3,X,6,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
VIBERG CHRISTIANSEN Frederik,DEN,43.0,1T3z 4 10,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,4,X,4,X,2,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
LARSEN Palmer,USA,44.0,1T3z 6 11,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,6,6,X,X,X,X,X,3,X,2,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
RAZ ROMEO Carmel,ISR,45.0,1T2z 4 5,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,4,4,X,1,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
COSSER Christopher,RSA,46.0,1T2z 8 7,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,8,6,X,X,X,1,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
FOSSALI Ludovico,ITA,47.0,1T1z 7 4,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,7,4,X,X,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
LEVIN Ram,ISR,48.0,0T3z 0 4,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,X,X,1,X,2,X,1,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
FELLNER Stefan,USA,49.0,0T3z 0 13,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,4,X,X,X,7,X,2,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
ELFENBEIN Theis Lindegren,DEN,50.0,0T2z 0 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,7,X,X,X,1,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
GRANJA Carlos,ECU,51.0,0T1z 0 3,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,X,X,X,X,3,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
RIVADENEIRA  Nickolaie,ECU,52.0,0T1z 0 8,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,8,X,X,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
RIVADENEIRA Paolo ,ECU,53.0,0T1z 0 16,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,16,X,X,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
CHICAIZA Tomas,ECU,54.0,0T0z 0 0,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,X,X,X,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
ONDRA Adam,CZE,,DNS,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1192,2021,Salt Lake City,Boulder,Men,Qualification,2021-05-28,/api/v1/category_rounds/6176/results,/api/v1/events/1192/result/3,X,X,X,X,X,X,X,X,X,X,2021-05-28_Salt Lake City_Boulder_Men_Qualification.csv
