name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
KOBETS Anastasiia,UKR,33,92.16,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,89.5,25,2.66,67,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Adamovska Eliska,CZE,34,77.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,9.0,47,68.0,27,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Mcneice Erin,GBR,35,73.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,68.0,27,5.66,55,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Meul Hannah,GER,36,55.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,24.0,35,31.5,33,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
KIM Chaeyeong,KOR,37,53.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,1.0,75,52.0,29,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Smetanova Michaela,CZE,38,45.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,6.0,54,39.5,31,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Tesio Giorgia,ITA,39,35.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,24.0,35,11.5,43,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Aguado Valentina,ARG,40,32.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,31.5,33,0.5,79,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Shiran Noa,ISR,41,24.19,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,16.0,39,8.19,47,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Matsufuji Anon,JPN,42,18.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,4.5,59,13.5,41,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Dreamer Maya,ISR,43,17.19,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,9.0,47,8.19,47,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Martínez Almendros Iziar,ESP,44,16.16,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,13.5,41,2.66,67,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Contreras Alejandra,CHI,45,16.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0.0,81,16.0,39,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Caulier Chloe,BEL,46,13.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,2.0,71,11.5,43,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Frangos Rebecca,CAN,47,10.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,83,10.5,45,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Agambayeva Margarita,KAZ,48,10.19,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,2.0,69,8.19,47,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Chapman Indiana,CAN,49,10.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,3.0,67,7,52,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Roy Babette,CAN,50,9.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,6.0,54,3.33,63,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Totkova Aleksandra,BUL,51,8.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,3.0,65,5.66,55,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Kremer Valeri,ISR,52,8.19,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,86,8.19,47,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Cullen Kylie,USA,53,6.83,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,3.5,63,3.33,63,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Ghaffari Sarina,IRI,54,5.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,1.0,77,4.33,59,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Ackre Anne,NOR,55,4.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,4.5,59,0,85,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Castro Martina,CHI,56,4.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,91,4.33,59,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Köhler  Anja,BRA,56,4.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,87,4.33,59,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Luna Velasco Arantza,MEX,58,4.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,95,4,62,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Janosova Marketa,CZE,59,4.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,2.0,73,2.0,71,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Nesterenko Daria,UKR,60,3.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,3.0,67,0,85,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Becerra Rocio Ailen,ARG,61,2.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,105,2.66,67,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Castillo Lianet,VEN,62,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,2.0,71,0,84,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Davila Emilia,ECU,62,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,83,2,70,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
De Magalhaes de Castro Bianca,BRA,62,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,91,2.0,71,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Potapova Nika,UKR,62,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,91,2.0,71,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
WIDIA FUJIYANTI,INA,62,2.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,102,2,74,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Cabezas Matilde,CHI,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,97,1.0,75,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Galeova Ema,CZE,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,87,1.0,77,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
González Rámirez María Fernanda,MEX,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,1.0,79,0,92,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Lee Hung Ying,TPE,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,87,1.0,75,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Salazar Puga Regina,MEX,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,1.0,77,0,93,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
SUTHAPHAISANWITHAYA Rattankorn,THA,67,1.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,102,1.0,77,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Bjarnason Svana,ISL,73,0.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,97,0.5,79,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
LINTANG CAHYANI SUKMA,INA,73,0.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,104,0.5,79,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Santini Mikulić Anja,CRO,73,0.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,0,87,0.5,79,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
