name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
HILY Manon,FRA,11,82.3,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,2,X,4,X,X,X,X,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
THOMPSON-SMITH Molly,GBR,12,78.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,2,X,X,X,X,X,X,41+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
JANICOT Hélène,FRA,13,73.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,2,X,X,X,X,X,X,41,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
KRAMPL Mia,SLO,14,73.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,X,X,4,X,1,36+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
AVEZOU Zélia,FRA,15,73.3,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,X,X,4,X,5,36,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
MACKENZIE Oceania,AUS,16,71.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,2,X,1,X,X,35+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
LUKAN Vita,SLO,17,65.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,X,X,6,X,X,35+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
KEREM Ayala,ISR,18,53.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,X,X,3,X,6,X,6,28,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
SEO Yejoo,KOR,19,53.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,X,X,X,X,X,X,X,36+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
CONDIE Kyra,USA,20,45.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,1,X,X,X,4,X,8,24+,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
ROGORA Laura,ITA,21,32.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Semi-final,2023-08-01,/api/v1/category_rounds/8351/results,/api/v1/events/1301/result/618,X,X,X,X,X,X,X,9,25,2023-08-01_Bern_Boulder&lead_Women_Semi-final.csv
