name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Flohé Yannick,GER,11,565.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,380,9,185,18,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
YURIKUSA Ao,JPN,12,553.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,8.0,49,545,5,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Roberts Toby,GBR,13,550.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,170,19,380,9,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
NARASAKI Tomoa,JPN,14,550.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,280,13,270.0,12,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ogata Yoshiyuki,JPN,15,528.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,455,7,73,27,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Bailey Sean,USA,16,485.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,30.0,33,455,7,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Lehmann Sascha,SUI,17,359.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,89.5,25,270.0,12,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
SONG Yunchan,KOR,18,353.33,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,3.33,63,350,10,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
NARASAKI Meichi,JPN,19,299.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,260,14,39.5,31,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Duffy Colin,USA,20,280.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,10.5,45,270.0,12,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
