name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,Route_1,source_file
BAILEY Sean,USA,11,111.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,3,2,X,2,3,1,32,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
FLOHÉ Yannick,GER,12,109.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,X,X,X,3,38+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
MEGOS Alexander,GER,13,106.9,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,2,1,1,X,2,X,X,37+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
MAWEM Mickael,FRA,14,105.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,X,2,5,4,30+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
LEHMANN Sascha,SUI,15,101.2,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,X,2,2,X,4,X,6,37+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
NARASAKI Meichi,JPN,16,97.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,X,3,1,1,27,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
OGATA Yoshiyuki,JPN,17,92.8,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,1,1,X,8,X,6,31,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
UZNIK Nicolai,AUT,18,91.6,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,2,1,X,X,X,4,32+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
SONG Yunchan,KOR,19,91.2,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,4,X,1,X,X,X,6,37+,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
AVEZOU Sam,FRA,20,82.7,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8350/results,/api/v1/events/1301/result/617,X,1,X,1,X,2,3,1,27,2023-08-01_Bern_Boulder&lead_Men_Semi-final.csv
