name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Posch Jan-Luca,AUT,11.0,3T5z 7 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,X,1,3,3,X,5,3,2,1,1
Lorenzi Simon,BEL,13.0,3T5z 8 7,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,4,1,X,2,X,1,1,1,3,2
Ondra Adam,CZE,13.0,3T5z 6 13,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,X,5,4,2,X,4,1,1,1,1
FUJII Kokoro,JPN,15.0,3T5z 9 12,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,7,2,X,6,1,1,X,2
Milne Maximillian,GBR,15.0,3T5z 7 8,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,X,1,X,3,3,2,3,1
Marcus Nimrod,ISR,17.0,3T5z 7 9,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,1,1,X,1,5,5,1,1,X,1
Kruder Jernej,SLO,17.0,3T4z 14 4,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,5,1,7,1,X,1,2,1,X,X
Flohé Yannick,GER,19.0,3T5z 8 25,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,5,4,X,3,X,15,2,2,1,1
Duffy Colin,USA,19.0,2T5z 7 11,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,4,1,X,4,X,2,X,1,3,3
Rusev Nikolay,BUL,21.0,3T5z 9 15,IFSC World Cup Prague 2023,1295,2023,Prague,Boulder,Men,Qualification,2023-06-02,/api/v1/category_rounds/7681/results,/api/v1/events/1295/result/3,3,2,X,5,4,3,2,1,X,4
