name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Crane Leah,GBR,26,1t1 4b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,1,1,X,1,X,6,X,X
Zakharova Margaryta,UKR,26,2t4 3b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,1,X,X,X,5,2,2,X,X
Medici Giulia,ITA,27,2t5 4b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,X,4,4,1,1,1,X,X
Miller Delaney,USA,27,1t2 2b4,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,2,X,2,X,X,X,X,X,X
Vandet Salling Katrine,DEN,28,1t2 2b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,5,2,2,X,X,X,X,X,X
Weldon Stacey,CAN,28,2t5 3b8,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,2,1,3,3,X,X,X,4,X,X
De Marco Annalisa,ITA,29,2t8 4b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,4,7,5,X,1,1,1,X,X
Rekabi Elnaz,IRI,29,1t3 2b5,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,3,2,X,3,X,X,X,X,X,X
Agrapart Maëlys,FRA,30,1t4 4b6,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,4,1,X,2,X,2,X,1,X,X
Kushch Olga,RUS,30,1t3 3b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,X,X,X,8,3,2,X,X
Bilkova Karina,CZE,31,1t4 2b4,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,4,3,X,X,X,X,X,X
Borella Anna,ITA,31,1t3 2b7,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,X,X,4,X,X,3,3,X,X
Haave Sunniva Eik,NOR,32,1t5 3b9,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,2,5,5,X,2,X,X,X,X
McKeehan Grace,USA,32,1t4 4b10,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,1,4,3,X,1,X,5,X,X
Garbova Petya,BUL,33,1t4 2b11,IFSC Climbing World Championships - Paris (FRA) 2016,950,2016,Paris,Boulder,Women,Qualification,2016-09-14,/api/v1/category_rounds/3897/results,/api/v1/events/950/result/7,X,7,X,X,X,X,4,4,X,X
