name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
McColl Sean,CAN,19,3T5z 5 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,1,1,3,3,X,1,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Puman Hannes,SWE,19,3T5z 5 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,1,1,3,3,1,1,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Samoilov Fedir,UKR,19,4T4z 10 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,5,5,1,1,3,2,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Inoue Yuji,JPN,20,3T5z 4 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,1,1,X,2,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Avezou Leo,FRA,21,3T5z 6 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,1,X,2,1,1,2,2,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Bailey Sean,USA,21,3T5z 7 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,2,4,3,1,1,X,2,X,4,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Holowach Jason,CAN,22,3T5z 7 13,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,1,X,4,3,3,1,1,X,4,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Levin Ram,ISR,22,3T4z 4 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,2,2,1,1,X,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ridal William,GBR,23,3T4z 6 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,X,1,4,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Takata Tomoaki,JPN,23,3T5z 8 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,1,1,6,6,1,1,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Bombardi Marcello,ITA,24,3T4z 7 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,X,1,5,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Topishko Sergii,UKR,24,3T5z 13 12,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,3,2,X,2,X,4,4,2,6,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Ghisolfi Stefano,ITA,25,3T4z 7 9,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,1,1,5,5,1,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Timmermans Loïc,BEL,25,3T4z 11 10,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,2,X,X,2,1,X,4,7,3,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
KIM Hanwool,KOR,26,2T5z 7 19,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,6,4,3,3,3,X,1,X,6,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Martin Philipp,GER,26,2T5z 2 19,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,4,1,1,X,3,X,10,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Galla Zach,USA,27,2T5z 8 14,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,7,1,X,7,1,1,X,1,X,4,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Marcus Nimrod,ISR,27,2T4z 2 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,X,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Pope James,GBR,28,2T4z 4 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,X,3,3,3,1,1,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Uchida Lucas,CAN,28,2T4z 2 7,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,X,1,X,4,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Marschner Kim,GER,29,2T4z 3 5,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,2,1,X,2,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Shemla Yuval,ISR,29,2T4z 7 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,4,1,3,3,X,X,X,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Barrans David,GBR,30,1T5z 2 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,X,1,2,2,X,1,X,5,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Lee Minyoung,KOR,30,2T4z 3 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,2,X,X,1,1,X,1,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Granja Carlos,ECU,31,1T5z 6 26,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,7,6,4,X,5,X,4,X,6,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Richardson Zach,CAN,31,2T4z 4 18,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,X,X,4,1,1,3,3,X,10,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Favre Nils,SUI,32,1T4z 1 11,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,X,6,X,X,1,1,X,2,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Roji Fatchur,IDN,32,2T3z 2 4,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,1,1,X,X,1,1,X,2,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Lam Hei-yeung,HKG,33,2T3z 3 8,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,2,1,X,X,1,1,X,6,X,X,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Serlachius Rolf Fredrik,SWE,33,1T4z 2 6,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,2,2,2,X,X,X,1,X,1,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
Harrison Campbell,AUS,34,1T5z 2 15,"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1115,2019,Wujiang,Boulder,Men,Qualification,2019-05-03,/api/v1/category_rounds/5482/results,/api/v1/events/1115/result/3,X,1,X,3,2,1,X,3,X,7,2019-05-03_Wujiang_Boulder_Men_Qualification.csv
