name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Hafsaas Tina Johnsen,NOR,30,27+ 30. | 41 26. [28.62],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,27+,41,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Meshkova Viktoriia,RUS,31,30+ 26. | 22+ 33. [30.67],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,30+,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Yip Alannah,CAN,32,24+ 35. | 36+ 27. [31.02],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,24+,36+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Phillips Emily,GBR,33,27+ 30. | 23+ 32. [31.75],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,27+,23+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Sa Sol,KOR,34,27+ 30. | 22+ 33. [33.44],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,27+,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Lee Hung Ying,TPE,35,23+ 37. | 28 30. [33.82],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,23+,28,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Johnson Alex,USA,36,22+ 39. | 28 30. [34.49],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,22+,28,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Mackenzie Oceania,AUS,37,26 34. | 22+ 33. [34.74],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,26,22+,2019-10-18_Xiamen_Lead_Women_Qualification.csv
JIANG Rong,CHN,38,24 36. | 22 39. [37.71],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,24,22,2019-10-18_Xiamen_Lead_Women_Qualification.csv
Rojas Andrea,ECU,39,23+ 37. | 22 39. [38.49],"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",1124,2019,Xiamen,Lead,Women,Qualification,2019-10-18,/api/v1/category_rounds/5555/results,/api/v1/events/1124/result/5,23+,22,2019-10-18_Xiamen_Lead_Women_Qualification.csv
