name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Alekseeva Kseniia,,5.0,33.42,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,35.02,False,33.42,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Gaidamakina Alina,,6.0,34.12,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,33.71,False,34.12,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Yurina Valentina,,7.0,34.61,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,34.75,False,34.61,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Boyarskikh  Ekaterina,,8.0,36.83,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,True,42.57,False,36.83,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Ryepko Olena,,9.0,36.72,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,36.72,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Savisko Anastasiya,,10.0,37.63,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,37.63,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Levochkina  Yuliya,,11.0,38.22,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,38.22,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Prokopiuk-Kawecka Monika,,12.0,39.77,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,39.77,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Bud Gusaim Oleksandra,,13.0,40.17,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Final,2009-04-18,/api/v1/category_rounds/1126/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Final.csv,2009-04-18_Tarnow_Speed_Women_Final.csv,2009/2009-04-18_Tarnow_Speed_Women_Final.csv,,False,40.17,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
Wicha Katarzyna,POL,14.0,45.52,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Women,Qualification,2009-04-18,/api/v1/category_rounds/1125/results,/api/v1/events/561/result/6,,,,,,,,,,,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009-04-18_Tarnow_Speed_Women_Qualification.csv,2009/2009-04-18_Tarnow_Speed_Women_Qualification.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_IFSC_Time_2009-2025
