name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,source_file,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Podchesov Kostiantyn,,6.0,21.56,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,21.95,False,21.56,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Oleksy Tomasz,,8.0,FALL,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,23.0,False,FALL,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Swirk Lukasz,,9.0,22.85,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,22.85,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Vaitsekhovskii Evgenii,,2.0,20.66,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,True,21.15,True,20.76,True,18.67,False,20.66,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
De Las Salas Leonel,,10.0,23.28,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,23.28,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Kalita Maciej,,12.0,25.40,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,25.4,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Osipov Maksym,,13.0,26.50,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,26.5,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Komondi Csaba,,14.0,27.36,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,27.36,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Salimov Oleksandr,,15.0,29.58,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,29.58,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
Kokorin Stanislav,,16.0,FALL,IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,561,2009,Tarnow,Speed,Men,Final,2009-04-18,/api/v1/category_rounds/1128/results,/api/v1/events/561/result/2,,,,,,,,,,,2009-04-18_Tarnow_Speed_Men_Final.csv,2009/2009-04-18_Tarnow_Speed_Men_Final.csv,,False,FALL,,,,,,,,,,,,,,,,,2025-09-20 01:09:47.038316,Speed_IFSC_Time_2009-2025
