name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,source_file,_file,file_path,route_1,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,route_2,quali_time_a,quali_time_b,boulder_score,boulder_rank,lead_score,lead_rank,processed_at,scoring_era
Bibik Olga,RUS,1.0,,UIAA World Championship - Innsbruck 1993,125,1993,Innsbruck,Speed,Women,,1993-04-29,,/api/v1/events/125/result/6,,,,,,,,,,,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993-04-29_Innsbruck_Speed_Women_no-round.csv,1993/1993-04-29_Innsbruck_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Kryvonis Olena,UKR,14.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Lichtina Marina,KAZ,15.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Bibik Olga,RUS,1.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Ovtchinnikova Elena,USA,2.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Chereshneva Venera,RUS,3.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Gronkiewicz-Marcisz Iwona,POL,4.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Churbanova Galina,KAZ,5.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Perlova Nataliya,UKR,5.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Piszczek Renata,POL,7.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Butler Felicity,GBR,9.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Zadvornih Marie,KAZ,9.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Creamer Lucy,GBR,11.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Pashennik Nataliy,RUS,12.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Posarlie-Croitoru Elena,ROU,13.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Jankova Elka,BUL,7.0,,UIAA Worldcup - Black See 1993,128,1993,Black See,Speed,Women,,1993-08-26,,/api/v1/events/128/result/6,,,,,,,,,,,1993-08-26_Black See_Speed_Women_no-round.csv,1993-08-26_Black See_Speed_Women_no-round.csv,1993/1993-08-26_Black See_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Inozemtseva Yulia,RUS,1.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Bibik Olga,RUS,2.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Winkler Susan,GER,3.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Panfyorova Margarita,UKR,4.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Chereshneva Venera,RUS,5.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
Ovtchinnikova Elena,USA,5.0,,UIAA Worldcup - Nürnberg 1993,129,1993,Nürnberg,Speed,Women,,1993-11-04,,/api/v1/events/129/result/6,,,,,,,,,,,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993-11-04_Nürnberg_Speed_Women_no-round.csv,1993/1993-11-04_Nürnberg_Speed_Women_no-round.csv,,,,,,,,,,,,,,,,,,,2025-09-20 19:35:20.189328,Speed_UIAA_Legacy_1991-2006
