name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Forrest Kieran,GBR,46,25+ 42. | 20+ 47. [46.17],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,25+,20+
Lempereur Sven,BEL,47,13 58. | 24 37. [46.32],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,13,24
Escobar Ronny,CHI,48,17 54. | 22+ 40. [47.27],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,17,22+
Carretero Cruz Eneko,ESP,49,21 52. | 22 43. [48.10],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,21,22
Scherz Stefan,AUT,50,26+ 38. | 14+ 60. [48.68],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,26+,14+
Ayala Benjamin,CHI,51,21+ 47. | 20+ 47. [49.00],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,21+,20+
Coronado Rafael,LUX,52,11+ 60. | 22+ 40. [49.60],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,11+,22+
Malshchukov Vadim,RUS,53,21+ 47. | 19+ 52. [50.72],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,21+,19+
Alber Love  Ymer,SWE,54,21+ 47. | 18 54. [51.68],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,21+,18
Binter Tomas,CZE,55,15 56. | 20+ 47. [52.62],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,15,20+
Monsech Gasca Guillem,ESP,56,19+ 53. | 19+ 52. [52.75],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,19+,19+
Levin Josh,USA,57,21+ 47. | 16 58. [53.54],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,21+,16
Potucek Simon,CZE,58,12+ 59. | 20+ 47. [53.77],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,12+,20+
Vargas Benjamin,CHI,59,5+ 61. | 20+ 47. [54.67],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,5+,20+
Potucek Stepan,CZE,60,15 56. | 16 58. [57.49],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,15,16
Tekles Martin,GER,61,17 54. [57.66],IFSC Climbing Worldcup (L) - Kranj (SLO) 2018 ,1058,2018,Kranj,Lead,Men,Qualification,2018-09-29,/api/v1/category_rounds/5009/results,/api/v1/events/1058/result/1,17,
