name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B,source_file
STERNIK Valentin,ARG,51,6.221,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,8.815,6.221,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
GÓMEZ BARRIOS Miguel,ESP,52,6.225,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.225,10.259,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
TURNER Luke,GBR,53,6.24,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.246,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
CANCEL Gabriel,FRA,54,6.30,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,7.198,6.3,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
ZAJAC Robert,POL,55,6.46,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.464,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
ALENCASTER Andrés,MEX,56,6.58,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,6.582,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
MOZOLEVYCH Denys,UKR,57,6.81,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.815,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
ROBBY AL HILMI Antasyafi,INA,58,7.65,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,7.651,DNF,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
GOODALL Andrew,GBR,59,8.07,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,9.002,8.075,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
UMLAUF Aodhan,GER,60,8.11,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,8.11,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
JENNINGS Ben,USA,61,8.73,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,13.465,8.734,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
WATSON Samuel,USA,62,FALSE START (4.996),IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,4.996,DNS,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BOGESCHDORFER Lawrence,AUT,63,FALSE START (5.561),IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNS,5.561,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
WROBLEWSKI Mikolaj,POL,64,FALSE START (7.353),IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNS,7.353,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
BARABAS Mikolaj,POL,65,FALSE START (FALL),IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,,DNS,"2025-07-05_Krakow, POL_Speed_Men_Qualification.csv"
