name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
RODRIGUEZ Matthew,CAN,49,44.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,3,6,6,X,X,X,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PARKS Dylan,AUS,49,54.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,5,3,3,X,1,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
STIPEK Jan,CZE,49,54.4,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,5,3,X,3,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
SIVAKOV Roman,LTU,49,44.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,2,X,7,X,X,3,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
Waller Alexander,USA,53,54.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,3,1,1,X,1,X,6,X,X,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
RAMADHAN Ravianto,INA,53,43.8,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,4,1,1,X,X,X,10,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
BUTTERWORTH Samuel,GBR,53,54.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,3,3,X,2,X,5,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
GRUBER Raffael,AUT,56,43.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,X,4,11,7,X,X,X,5,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
LAPORTE Corentin,BEL,57,39.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,7,X,1,X,4,X,X,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PARK Beomjin,KOR,57,53.8,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,2,4,4,X,8,X,X,X,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
